good,medium,bad
537,154,59
457,71,19
685,97,1
540,92,4
526,65,0
626,169,11
623,68,4
455,107,1
593,230,50
663,195,52
786,159,2
480,123,12
526,291,24
548,276,13
513,313,166
500,234,185
617,104,58
666,111,39
334,201,365
679,221,2
748,209,4
739,77,67
613,208,270
698,134,2
796,126,4
645,161,3
721,293,21
530,334,203
522,315,190
651,286,164
614,314,123
772,198,48
666,412,104
747,287,61
671,307,8
519,607,232
579,565,108
605,387,13
536,465,23
609,456,34
795,238,86
625,469,100
629,629,153
726,486,137
662,549,246
743,456,130
745,485,383
533,591,331
623,494,159
783,309,55
832,237,72
788,426,38
816,319,67
773,234,29
738,292,428
105,454,978
662,487,101
642,507,289
731,535,206
665,464,60
590,353,141
536,435,391
594,505,62
547,527,104
730,430,207
934,277,168
681,605,77
729,408,113
747,483,75
753,413,99
783,357,171
626,558,248
728,449,157
816,258,18
712,328,252
557,549,285
595,740,219
876,283,23
738,312,184
724,482,120
709,397,187
642,373,292
852,340,78
602,573,222
523,597,160
469,649,221
473,580,131
443,683,332
634,541,271
653,584,270
542,618,287
683,623,131
628,511,209
753,260,28
745,403,139
841,435,259
459,758,414
799,269,82
748,256,307
605,536,390
